step 0: train loss 10.9891, val loss 10.9905
iter 0: loss 10.9876, time 39863.17ms, mfu -100.00%
iter 10: loss 10.3835, time 760.21ms, mfu 22.14%
iter 20: loss 9.8270, time 760.73ms, mfu 22.14%
iter 30: loss 9.5926, time 760.37ms, mfu 22.14%
iter 40: loss 9.2695, time 761.25ms, mfu 22.14%
iter 50: loss 9.0569, time 761.06ms, mfu 22.14%
iter 60: loss 8.8784, time 761.05ms, mfu 22.13%
iter 70: loss 8.7786, time 760.39ms, mfu 22.13%
iter 80: loss 8.4642, time 761.92ms, mfu 22.13%
iter 90: loss 8.2450, time 760.82ms, mfu 22.13%
iter 100: loss 8.1522, time 760.98ms, mfu 22.13%
iter 110: loss 7.8750, time 760.21ms, mfu 22.13%
iter 120: loss 7.5872, time 760.80ms, mfu 22.13%
iter 130: loss 7.4921, time 761.30ms, mfu 22.13%
iter 140: loss 7.2579, time 761.08ms, mfu 22.13%
iter 150: loss 7.0637, time 760.08ms, mfu 22.13%
iter 160: loss 6.9874, time 760.33ms, mfu 22.13%
iter 170: loss 6.9944, time 760.46ms, mfu 22.13%
iter 180: loss 6.7611, time 761.46ms, mfu 22.13%
iter 190: loss 6.8025, time 761.76ms, mfu 22.12%
iter 200: loss 6.5502, time 761.08ms, mfu 22.12%
iter 210: loss 6.7895, time 760.42ms, mfu 22.12%
iter 220: loss 6.7050, time 760.54ms, mfu 22.13%
iter 230: loss 6.5884, time 761.42ms, mfu 22.12%
iter 240: loss 6.5133, time 761.00ms, mfu 22.12%
iter 250: loss 6.4845, time 761.33ms, mfu 22.12%
iter 260: loss 6.3701, time 760.78ms, mfu 22.12%
iter 270: loss 6.4978, time 761.13ms, mfu 22.12%
iter 280: loss 6.3957, time 761.80ms, mfu 22.12%
iter 290: loss 6.3264, time 760.60ms, mfu 22.12%
iter 300: loss 6.3658, time 761.69ms, mfu 22.12%
iter 310: loss 6.3355, time 760.89ms, mfu 22.12%
iter 320: loss 6.4501, time 761.52ms, mfu 22.12%
iter 330: loss 6.3192, time 761.42ms, mfu 22.12%
iter 340: loss 6.2509, time 761.15ms, mfu 22.12%
iter 350: loss 5.9572, time 760.90ms, mfu 22.12%
iter 360: loss 6.2066, time 760.82ms, mfu 22.12%
iter 370: loss 6.3201, time 760.31ms, mfu 22.12%
iter 380: loss 6.0558, time 761.79ms, mfu 22.12%
iter 390: loss 6.1851, time 761.02ms, mfu 22.12%
iter 400: loss 6.2305, time 760.99ms, mfu 22.12%
iter 410: loss 5.9848, time 761.20ms, mfu 22.12%
iter 420: loss 6.1519, time 760.44ms, mfu 22.12%
iter 430: loss 5.9327, time 760.86ms, mfu 22.12%
iter 440: loss 6.0859, time 761.79ms, mfu 22.12%
iter 450: loss 5.9680, time 761.18ms, mfu 22.12%
iter 460: loss 5.9400, time 761.88ms, mfu 22.11%
iter 470: loss 5.9817, time 761.47ms, mfu 22.11%
iter 480: loss 5.6357, time 760.77ms, mfu 22.11%
iter 490: loss 5.7709, time 761.67ms, mfu 22.11%
iter 500: loss 5.7745, time 761.29ms, mfu 22.11%
iter 510: loss 5.8718, time 760.39ms, mfu 22.12%
iter 520: loss 5.7883, time 760.68ms, mfu 22.12%
iter 530: loss 5.8847, time 761.72ms, mfu 22.11%
iter 540: loss 5.6163, time 761.54ms, mfu 22.11%
iter 550: loss 5.6290, time 761.11ms, mfu 22.11%
iter 560: loss 5.6335, time 761.04ms, mfu 22.11%
iter 570: loss 5.8544, time 761.39ms, mfu 22.11%
iter 580: loss 5.7650, time 761.17ms, mfu 22.11%
iter 590: loss 5.5915, time 760.90ms, mfu 22.11%
iter 600: loss 5.4227, time 760.83ms, mfu 22.12%
iter 610: loss 5.6038, time 761.54ms, mfu 22.11%
iter 620: loss 5.5626, time 760.76ms, mfu 22.12%
iter 630: loss 5.6612, time 760.83ms, mfu 22.12%
iter 640: loss 5.5836, time 761.32ms, mfu 22.12%
iter 650: loss 5.4842, time 760.61ms, mfu 22.12%
iter 660: loss 5.4950, time 761.30ms, mfu 22.12%
iter 670: loss 5.5419, time 761.59ms, mfu 22.11%
iter 680: loss 5.4177, time 760.82ms, mfu 22.12%
iter 690: loss 5.3485, time 761.60ms, mfu 22.11%
iter 700: loss 5.2968, time 762.02ms, mfu 22.11%
iter 710: loss 5.4594, time 760.90ms, mfu 22.11%
iter 720: loss 5.3392, time 760.87ms, mfu 22.11%
iter 730: loss 5.4356, time 760.98ms, mfu 22.11%
iter 740: loss 5.1763, time 761.26ms, mfu 22.11%
iter 750: loss 5.2656, time 760.75ms, mfu 22.12%
iter 760: loss 5.4147, time 763.13ms, mfu 22.11%
iter 770: loss 5.3334, time 760.67ms, mfu 22.11%
iter 780: loss 5.3091, time 763.47ms, mfu 22.10%
iter 790: loss 5.3018, time 760.66ms, mfu 22.11%
iter 800: loss 5.2560, time 761.61ms, mfu 22.11%
iter 810: loss 5.1337, time 760.70ms, mfu 22.11%
iter 820: loss 5.1631, time 762.11ms, mfu 22.11%
iter 830: loss 5.4276, time 760.65ms, mfu 22.11%
iter 840: loss 5.1431, time 761.63ms, mfu 22.11%
iter 850: loss 5.2126, time 761.07ms, mfu 22.11%
iter 860: loss 5.1387, time 761.45ms, mfu 22.11%
iter 870: loss 5.0860, time 761.38ms, mfu 22.11%
iter 880: loss 5.1265, time 761.60ms, mfu 22.11%
iter 890: loss 5.0828, time 761.92ms, mfu 22.11%
iter 900: loss 5.1085, time 761.32ms, mfu 22.11%
iter 910: loss 5.0529, time 761.03ms, mfu 22.11%
iter 920: loss 5.0693, time 761.68ms, mfu 22.11%
iter 930: loss 4.9570, time 761.52ms, mfu 22.11%
iter 940: loss 4.8521, time 760.20ms, mfu 22.11%
iter 950: loss 4.9565, time 761.50ms, mfu 22.11%
iter 960: loss 5.0638, time 761.08ms, mfu 22.11%
iter 970: loss 4.8669, time 760.52ms, mfu 22.11%
iter 980: loss 4.9916, time 761.58ms, mfu 22.11%
iter 990: loss 4.9389, time 761.01ms, mfu 22.11%
step 1000: train loss 4.8919, val loss 4.8969
saving checkpoint to /cto_studio/datastory/common/GPT2
iter 1000: loss 4.9582, time 40364.24ms, mfu 19.94%
iter 1010: loss 4.9210, time 760.82ms, mfu 20.16%
iter 1020: loss 4.8711, time 760.91ms, mfu 20.36%
iter 1030: loss 4.8808, time 761.01ms, mfu 20.53%
