step 0: train loss 10.9891, val loss 10.9905
iter 0: loss 10.9876, time 62144.33ms, mfu -100.00%
iter 10: loss 10.3790, time 1191.13ms, mfu 14.13%
iter 20: loss 9.8212, time 1231.82ms, mfu 14.08%
iter 30: loss 9.5814, time 1160.76ms, mfu 14.13%
iter 40: loss 9.2459, time 1096.17ms, mfu 14.25%
iter 50: loss 9.0311, time 1110.07ms, mfu 14.34%
iter 60: loss 8.8484, time 1111.39ms, mfu 14.42%
iter 70: loss 8.7413, time 1139.57ms, mfu 14.46%
iter 80: loss 8.4182, time 1234.62ms, mfu 14.37%
iter 90: loss 8.1892, time 1216.12ms, mfu 14.32%
iter 100: loss 8.0804, time 1054.85ms, mfu 14.48%
iter 110: loss 7.7960, time 1171.04ms, mfu 14.47%
iter 120: loss 7.4951, time 1148.15ms, mfu 14.49%
iter 130: loss 7.4104, time 1095.93ms, mfu 14.58%
iter 140: loss 7.1786, time 1260.06ms, mfu 14.46%
iter 150: loss 6.9796, time 1236.91ms, mfu 14.37%
iter 160: loss 6.9042, time 1246.36ms, mfu 14.29%
iter 170: loss 6.8509, time 1147.41ms, mfu 14.32%
iter 180: loss 6.6700, time 1138.76ms, mfu 14.37%
iter 190: loss 6.7067, time 1095.76ms, mfu 14.47%
iter 200: loss 6.4378, time 1164.85ms, mfu 14.47%
iter 210: loss 6.6713, time 1156.13ms, mfu 14.48%
iter 220: loss 6.5775, time 1185.96ms, mfu 14.45%
iter 230: loss 6.4674, time 1096.93ms, mfu 14.54%
iter 240: loss 6.3855, time 1158.72ms, mfu 14.54%
iter 250: loss 6.3631, time 1057.18ms, mfu 14.67%
iter 260: loss 6.2337, time 1148.49ms, mfu 14.67%
iter 270: loss 6.3502, time 1204.50ms, mfu 14.60%
iter 280: loss 6.2467, time 1156.70ms, mfu 14.60%
iter 290: loss 6.1845, time 1078.10ms, mfu 14.70%
iter 300: loss 6.2161, time 1144.17ms, mfu 14.70%
iter 310: loss 6.1855, time 1146.56ms, mfu 14.70%
iter 320: loss 6.2938, time 1105.03ms, mfu 14.75%
iter 330: loss 6.1599, time 1169.99ms, mfu 14.72%
iter 340: loss 6.0999, time 1196.46ms, mfu 14.65%
iter 350: loss 5.7963, time 1168.46ms, mfu 14.63%
iter 360: loss 6.0355, time 1167.39ms, mfu 14.61%
iter 370: loss 6.1389, time 1168.86ms, mfu 14.59%
iter 380: loss 5.8790, time 1144.10ms, mfu 14.60%
iter 390: loss 5.9893, time 1186.90ms, mfu 14.56%
iter 400: loss 6.0043, time 1144.28ms, mfu 14.57%
iter 410: loss 5.7878, time 1164.34ms, mfu 14.56%
iter 420: loss 5.9261, time 1115.28ms, mfu 14.61%
iter 430: loss 5.7341, time 1137.98ms, mfu 14.63%
iter 440: loss 5.8323, time 1102.51ms, mfu 14.69%
iter 450: loss 5.7446, time 1164.20ms, mfu 14.67%
iter 460: loss 5.6971, time 1188.75ms, mfu 14.62%
iter 470: loss 5.7217, time 1258.34ms, mfu 14.50%
iter 480: loss 5.4341, time 1117.59ms, mfu 14.55%
iter 490: loss 5.5564, time 1110.22ms, mfu 14.61%
iter 500: loss 5.5413, time 1128.68ms, mfu 14.64%
iter 510: loss 5.6442, time 1150.65ms, mfu 14.64%
iter 520: loss 5.5662, time 1175.70ms, mfu 14.61%
iter 530: loss 5.5918, time 1208.35ms, mfu 14.54%
iter 540: loss 5.4014, time 1238.97ms, mfu 14.45%
iter 550: loss 5.3976, time 1156.50ms, mfu 14.46%
iter 560: loss 5.3537, time 1101.30ms, mfu 14.54%
iter 570: loss 5.6438, time 1211.19ms, mfu 14.48%
iter 580: loss 5.5341, time 1212.01ms, mfu 14.42%
iter 590: loss 5.3709, time 1256.01ms, mfu 14.31%
iter 600: loss 5.1954, time 1200.03ms, mfu 14.29%
iter 610: loss 5.3783, time 1184.66ms, mfu 14.28%
iter 620: loss 5.3415, time 1132.76ms, mfu 14.34%
iter 630: loss 5.4094, time 1152.85ms, mfu 14.36%
iter 640: loss 5.3470, time 1124.50ms, mfu 14.42%
iter 650: loss 5.2382, time 1220.24ms, mfu 14.36%
iter 660: loss 5.2382, time 1128.25ms, mfu 14.42%
iter 670: loss 5.2850, time 1200.06ms, mfu 14.38%
iter 680: loss 5.1723, time 1086.87ms, mfu 14.49%
iter 690: loss 5.1202, time 1128.54ms, mfu 14.53%
iter 700: loss 5.0435, time 1206.48ms, mfu 14.47%
iter 710: loss 5.1665, time 1169.07ms, mfu 14.47%
iter 720: loss 5.0782, time 1173.48ms, mfu 14.45%
iter 730: loss 5.1410, time 1239.37ms, mfu 14.37%
iter 740: loss 4.9331, time 1131.81ms, mfu 14.42%
iter 750: loss 5.0050, time 1135.13ms, mfu 14.46%
iter 760: loss 5.1206, time 1127.95ms, mfu 14.50%
iter 770: loss 5.0623, time 1189.02ms, mfu 14.47%
iter 780: loss 5.0249, time 1173.60ms, mfu 14.46%
iter 790: loss 4.9964, time 1200.07ms, mfu 14.41%
iter 800: loss 4.9419, time 1088.67ms, mfu 14.52%
