step 0: train loss 10.9891, val loss 10.9905
iter 0: loss 10.9876, time 61742.94ms, mfu -100.00%
iter 10: loss 10.3790, time 1135.78ms, mfu 14.82%
iter 20: loss 9.8212, time 1204.60ms, mfu 14.74%
iter 30: loss 9.5814, time 1191.91ms, mfu 14.67%
iter 40: loss 9.2459, time 1096.23ms, mfu 14.74%
iter 50: loss 9.0311, time 1111.23ms, mfu 14.78%
iter 60: loss 8.8484, time 1072.94ms, mfu 14.87%
iter 70: loss 8.7413, time 1166.25ms, mfu 14.83%
iter 80: loss 8.4182, time 1155.79ms, mfu 14.80%
iter 90: loss 8.1892, time 1177.39ms, mfu 14.75%
iter 100: loss 8.0804, time 1156.32ms, mfu 14.73%
iter 110: loss 7.7960, time 1147.37ms, mfu 14.73%
iter 120: loss 7.4951, time 1095.64ms, mfu 14.79%
iter 130: loss 7.4104, time 1132.20ms, mfu 14.80%
iter 140: loss 7.1786, time 1091.50ms, mfu 14.86%
iter 150: loss 6.9796, time 1187.22ms, mfu 14.79%
iter 160: loss 6.9042, time 1183.01ms, mfu 14.74%
iter 170: loss 6.8509, time 1105.06ms, mfu 14.79%
iter 180: loss 6.6700, time 1105.67ms, mfu 14.83%
iter 190: loss 6.7067, time 1095.94ms, mfu 14.88%
iter 200: loss 6.4378, time 1206.55ms, mfu 14.79%
iter 210: loss 6.6713, time 1164.10ms, mfu 14.76%
iter 220: loss 6.5775, time 1164.36ms, mfu 14.73%
iter 230: loss 6.4674, time 1196.14ms, mfu 14.66%
iter 240: loss 6.3855, time 1116.11ms, mfu 14.70%
iter 250: loss 6.3631, time 1120.16ms, mfu 14.74%
iter 260: loss 6.2337, time 1100.46ms, mfu 14.79%
iter 270: loss 6.3502, time 1183.95ms, mfu 14.73%
iter 280: loss 6.2467, time 1177.42ms, mfu 14.69%
iter 290: loss 6.1845, time 1202.59ms, mfu 14.62%
iter 300: loss 6.2161, time 1152.02ms, mfu 14.62%
iter 310: loss 6.1855, time 1118.18ms, mfu 14.66%
iter 320: loss 6.2938, time 1106.70ms, mfu 14.72%
iter 330: loss 6.1599, time 1176.04ms, mfu 14.68%
iter 340: loss 6.0999, time 1244.48ms, mfu 14.56%
iter 350: loss 5.7963, time 1236.92ms, mfu 14.47%
iter 360: loss 6.0355, time 1140.49ms, mfu 14.50%
iter 370: loss 6.1389, time 1132.30ms, mfu 14.53%
iter 380: loss 5.8790, time 1103.11ms, mfu 14.61%
iter 390: loss 5.9893, time 1123.99ms, mfu 14.64%
iter 400: loss 6.0043, time 1216.79ms, mfu 14.56%
iter 410: loss 5.7878, time 1107.55ms, mfu 14.63%
iter 420: loss 5.9261, time 1160.23ms, mfu 14.61%
iter 430: loss 5.7341, time 1123.18ms, mfu 14.65%
iter 440: loss 5.8323, time 1116.71ms, mfu 14.69%
iter 450: loss 5.7446, time 1087.45ms, mfu 14.77%
iter 460: loss 5.6971, time 1176.28ms, mfu 14.73%
iter 470: loss 5.7217, time 1174.13ms, mfu 14.69%
iter 480: loss 5.4341, time 1179.97ms, mfu 14.64%
iter 490: loss 5.5564, time 1183.98ms, mfu 14.60%
iter 500: loss 5.5413, time 1105.06ms, mfu 14.66%
iter 510: loss 5.6442, time 1089.23ms, mfu 14.74%
iter 520: loss 5.5662, time 1177.63ms, mfu 14.70%
iter 530: loss 5.5918, time 1148.80ms, mfu 14.69%
iter 540: loss 5.4014, time 1217.37ms, mfu 14.61%
iter 550: loss 5.3976, time 1142.95ms, mfu 14.62%
iter 560: loss 5.3537, time 1217.65ms, mfu 14.54%
iter 570: loss 5.6438, time 1125.83ms, mfu 14.58%
