step 0: train loss 10.9891, val loss 10.9905
iter 0: loss 10.9876, time 87080.67ms, mfu -100.00%
iter 10: loss 10.3790, time 1241.25ms, mfu 13.56%
iter 20: loss 9.8212, time 1204.61ms, mfu 13.60%
iter 30: loss 9.5814, time 1179.71ms, mfu 13.67%
iter 40: loss 9.2459, time 1172.02ms, mfu 13.74%
iter 50: loss 9.0311, time 1128.26ms, mfu 13.86%
iter 60: loss 8.8484, time 1248.87ms, mfu 13.82%
iter 70: loss 8.7413, time 1193.90ms, mfu 13.85%
iter 80: loss 8.4182, time 1189.85ms, mfu 13.88%
iter 90: loss 8.1892, time 1117.29ms, mfu 14.00%
iter 100: loss 8.0804, time 1086.92ms, mfu 14.14%
iter 110: loss 7.7960, time 1128.11ms, mfu 14.22%
iter 120: loss 7.4951, time 1204.08ms, mfu 14.20%
iter 130: loss 7.4104, time 1155.55ms, mfu 14.23%
iter 140: loss 7.1786, time 1187.22ms, mfu 14.23%
iter 150: loss 6.9796, time 1091.89ms, mfu 14.35%
iter 160: loss 6.9042, time 1132.22ms, mfu 14.40%
iter 170: loss 6.8509, time 1139.03ms, mfu 14.44%
iter 180: loss 6.6700, time 1115.17ms, mfu 14.50%
iter 190: loss 6.7067, time 1183.40ms, mfu 14.48%
iter 200: loss 6.4378, time 1143.92ms, mfu 14.50%
iter 210: loss 6.6713, time 1246.06ms, mfu 14.40%
iter 220: loss 6.5775, time 1104.03ms, mfu 14.48%
iter 230: loss 6.4674, time 1058.56ms, mfu 14.63%
iter 240: loss 6.3855, time 1095.85ms, mfu 14.70%
iter 250: loss 6.3631, time 1211.84ms, mfu 14.62%
iter 260: loss 6.2337, time 1193.33ms, mfu 14.57%
iter 270: loss 6.3502, time 1187.14ms, mfu 14.53%
iter 280: loss 6.2467, time 1141.87ms, mfu 14.55%
iter 290: loss 6.1845, time 1109.07ms, mfu 14.61%
iter 300: loss 6.2161, time 1118.83ms, mfu 14.66%
iter 310: loss 6.1855, time 1229.55ms, mfu 14.56%
iter 320: loss 6.2938, time 1212.34ms, mfu 14.49%
iter 330: loss 6.1599, time 1119.77ms, mfu 14.55%
